30 3
3 3 3
# Stage 1
32 46 12
32 36 13
40 28 45
14 41 22
35 12 33
10 10 34
29 31 12
41 22 44
20 35 21
46 42 22
27 49 42
18 23 44
22 36 44
16 43 20
34 20 30
41 21 28
43 14 21
12 38 41
43 33 45
10 44 13
44 24 30
29 23 26
12 17 48
12 39 37
40 32 36
12 34 27
31 26 23
10 31 46
10 30 17
37 23 36
# Stage 2
16 44 15
49 17 37
36 24 39
24 41 38
28 35 41
40 36 37
34 11 38
49 12 21
13 19 46
26 41 44
32 48 21
45 18 29
40 42 32
50 17 31
21 30 30
42 46 24
22 10 31
39 36 14
44 32 17
13 49 20
31 49 12
35 16 28
13 19 10
50 47 25
38 31 41
12 22 43
11 16 38
18 19 39
41 22 17
44 10 14
# Stage 3
43 37 46
43 17 28
21 39 36
13 18 30
50 36 32
14 11 35
23 23 19
39 19 30
29 33 21
38 16 35
27 16 16
28 14 49
49 15 19
30 11 20
25 40 44
22 39 47
45 12 29
21 50 29
34 23 42
43 37 42
17 43 40
26 16 45
12 16 11
43 24 16
37 11 45
39 26 20
27 35 19
34 46 23
11 41 29
36 46 33
