20 3
3 3 3
# Stage 1
14 48 21
32 44 49
33 29 48
18 31 24
34 19 50
11 24 39
10 38 14
28 15 42
30 11 36
26 27 32
33 24 33
41 50 25
32 47 41
21 29 36
46 31 19
39 23 12
13 31 36
13 34 14
19 29 13
38 41 12
# Stage 2
44 41 45
35 24 17
41 45 15
26 39 31
40 13 15
29 29 33
25 22 42
27 19 16
36 10 13
41 23 47
11 30 22
49 23 17
30 38 25
32 47 22
10 43 49
41 19 34
16 48 50
31 29 40
46 21 27
11 40 20
# Stage 3
43 42 36
34 11 32
15 22 42
46 37 33
39 12 44
23 49 30
11 32 47
14 18 16
36 12 17
12 31 49
44 50 30
32 10 46
12 43 22
17 23 27
34 14 14
29 25 19
11 49 16
19 30 10
45 31 15
45 19 38
