20 3
3 3 3
# Stage 1
27 17 42
40 46 21
39 29 47
14 41 35
43 42 22
38 17 11
26 36 11
36 32 45
37 41 45
37 21 13
26 46 48
22 15 39
32 28 18
24 11 23
27 27 13
25 42 20
49 37 15
15 15 22
18 45 19
38 39 41
# Stage 2
45 25 32
29 22 13
36 16 37
35 13 15
33 36 20
31 41 15
18 25 17
45 29 34
36 26 36
15 41 12
16 16 50
26 44 39
45 15 23
30 12 24
17 13 28
22 18 36
11 47 49
35 47 19
11 23 18
43 25 34
# Stage 3
18 34 14
17 49 36
26 46 34
27 22 29
40 32 18
38 36 40
34 20 41
29 33 43
50 14 27
33 14 15
48 42 41
44 50 33
43 15 50
30 43 34
39 39 36
10 12 22
46 50 17
13 33 23
27 40 42
30 16 10
